祸胎,灾祸
硅橡胶,高分子材料
性病,症状
梧桐,人物
梧桐,角色
古琴,中国乐器
古琴,弦乐器
古琴,民族乐器
古琴,乐器
珍稀植物,植物
证据法,法律
三七,中药材
三七,中药
票据法,法律
票据法,法规
票据法,法律术语
魔杖,武器
魔杖,巫师
魔杖,物品
魔杖,魔法
魔杖,职业
引水渠,水渠
化学工业,化工
七言绝句,绝句
七言绝句,诗文
七言绝句,诗词
书画家,艺术家
书画家,美术家
书画家,画家
书画家,书法家
老奶奶,奶奶
藏医院,医院
张艺谋电影,电影
体质,身体
一年生植物,植物
一年生植物,植物界
一年生植物,草本植物
白萝卜,蔬菜
白萝卜,萝卜
畜牧业,行业
畜牧业,文化
畜牧业,经济
培训讲师,讲师
专科,教育机构
专科,学校
专科,大学
专科,高校
太平洋战争,战役
太平洋战争,军事
太平洋战争,战争
循证医学,医学
汇编语言,计算机
汇编语言,计算机技术
汇编语言,编程语言
医学仪器,仪器
角色扮演游戏,游戏
角色扮演游戏,游戏
女贞,树木
女贞,乔木
八卦掌,武术
八卦掌,中国武术
八卦掌,内家拳
八卦掌,拳术
伊拉克战争,战争
伊拉克战争,中东战争
伊拉克战争,军事
假日酒店,酒店
主教,教皇
乳制品,食物
乳制品,食品
投资银行,银行
投资银行,金融机构
苹果树,果树
苹果树,树木
苹果树,乔木
中文书籍,书籍
空空导弹,导弹
圣经,宗教
纺车,纺织
顾问,机构
箱包品牌,品牌
飞轮海,音乐团体
飞轮海,歌手
山墙,墙壁
鼻窦炎,症状
驾驶员,汽车
小村,村庄
小村,乡村
动作电影,电影
大雪,气候
大雪,气象
大雪,中国气候
大雪,天气
大雪,节气
菠萝蜜,水果
菠萝蜜,菠萝
受益人,保险
鸢尾科,双子叶植物纲
鸢尾科,被子植物门
鸢尾科,大戟科
鸢尾科,百合科
鸢尾科,蓼科
鸢尾科,蔷薇科
鸢尾科,桔梗科
头脑,思想
壳斗科,被子植物门
壳斗科,双子叶植物纲
运筹学,物理理论
运筹学,物理学
运筹学,科学
运筹学,物理
信天游,陕北民歌
信天游,民歌
信天游,中国民歌
信天游,流行歌曲
书信,文书
慈善家,公益
专利法,法律
专利法,法律术语
专利法,法律法规
专利法,法规
定向,术语
精神病院,医院
剧场动画,动画
骨质增生,症状
骨质增生,关节炎
平板电脑,电脑
平板电脑,笔记本电脑
平板电脑,机器
流感,传染病
流感,法定传染病
超级联赛,赛事
超级联赛,足球
超级联赛,体育
燕子,候鸟
鳀鱼,鱼类
日韩电影,电影
客房,宾馆
客房,酒店
游戏王,电子游戏
游戏王,电脑游戏
文学史,现代史
文学史,近代史
文学史,历史
文学史,文学
文学史,古代史
玩家,人物
乔任梁,网络歌手
乔任梁,歌手
出口商,企业
随机过程,科学
随机过程,物理理论
随机过程,物理学
循环赛,体育
循环赛,体育运动
循环赛,足球
循环赛,体育赛事
循环赛,足球比赛
现代战争,战争
八角,调味品
八角,香料
法网,体育
法网,赛事
法网,公开赛
法网,运动员
美国品牌,品牌
剧情片,电影
新村,乡村
新村,上海街道
中国建筑,中国企业
中国建筑,企业集团
中国建筑,股份有限公司
中国建筑,中国公司
中国建筑,上市公司
中国建筑,国有企业
中国建筑,企业
阑尾炎,症状
艾滋病,乙类传染病
艾滋病,传染病
艾滋病,法定传染病
女装品牌,品牌
凉菜,家常菜
凉菜,菜肴
凉菜,美食
凉菜,菜谱
利率,银行
利率,金融机构
大行星,行星
赛艇,奥运项目
赛艇,奥运会项目
赛艇,体育
赛艇,亚洲运动会
赛艇,奥运会
赛艇,体育运动
赛艇,运动员
散文集,文集
散文集,书籍
散文集,文学作品
黄连,中药材
黄连,药草
黄连,中草药
黄连,中药
月亮,天体
月亮,卫星
水墨画,国画
水墨画,书画
水墨画,绘画作品
水墨画,画作
水墨画,绘画
魔方,玩具
异性,性别
职业院校,院校
明渠,溪涧
明渠,沟渠
日本姓氏,语言
日本姓氏,姓氏
黄杨,树木
垂柳,树木
垂柳,乔木
垂柳,柳树
甲烷,化合物
甲烷,有机物
足球游戏,游戏
商品期货,期货
中国民俗,节日
中国民俗,民俗
中国民俗,传统节日
军事演习,军事
测绘仪器,仪器
恐怖电影,好莱坞电影
恐怖电影,电影
古乐器,乐器
亚洲历史,历史
一级作家,作家
星空,时空
曲棍球,奥运项目
曲棍球,赛事
曲棍球,体育赛事
曲棍球,体育
曲棍球,奥运会项目
窗帘,帘子
凉茶,食疗
凉茶,饮品
凉茶,食品
凉茶,食物
满汉全席,美食
满汉全席,菜谱
蒲桃,葡萄
蒲桃,水果
五味子,中药材
五味子,中草药
五味子,药草
五味子,中药
铁杉,树木
铁杉,乔木
柑桔,水果
学报,书籍
学报,杂志
学报,出版物
花蕊,花朵
鹊桥,天体
鹊桥,卫星
鹊桥,飞行器
松树,树木
松树,乔木
程序法,法律
程序法,法律法规
程序法,法规
内存,电脑
内存,机器
内存,硬件
白杨树,树木
白杨树,杨树
中国古代史,中国历史
中国古代史,世界历史
中国古代史,科学史
中国古代史,历史
中国古代史,古代史
花轿,轿子
脱口秀,影视节目
中国艺术家,艺术家
心绞痛,症状
凉皮,面食
华人科学家,科学家
执业医师,医师
陵园,墓地
矿床,地质
新能源汽车,汽车
新能源汽车,机动车
新能源汽车,车辆
不锈钢,金属
不锈钢,合金
汉剧,戏剧
陶罐,陶瓷器
陶罐,器具
铜牌,奖牌
铜牌,体育赛事
桌面游戏,桌上游戏
桌面游戏,网络游戏
桌面游戏,网页游戏
桌面游戏,游戏
桌面游戏,电脑游戏
桌面游戏,电子游戏
酸酐,有机化合物
酸酐,化合物
酸酐,有机物
野牛,动物界
野牛,珍稀动物
野牛,动物
痱子,症状
鸦科,雀形目
鸦科,鸟纲
车轮,汽车
车轮,汽车文化
牧师,职业
王者,人物
王者,角色
王者,种族
眼科疾病,疾病
酸奶,牛奶
酸奶,饮品
酸奶,化妆品
酸奶,食品
酸奶,食物
千千阙歌,流行歌曲
保险丝,电路
神兽,角色
神兽,人物
日本歌曲,歌曲
口角炎,症状
伪麻黄碱,药品
伪麻黄碱,药物
伪麻黄碱,麻黄碱
木雕,工艺品
平衡,状态
官话,方言
官话,普通话
官话,语言
青霉素,药品
青霉素,处方药
青霉素,药物
建兰,花卉
诗仙,诗文
诗仙,诗词
诗仙,诗人
面筋,面食
寒冷性荨麻疹,荨麻疹
寒冷性荨麻疹,皮肤病
精装,书籍
梨子,水果
椭圆,图形
中医学家,医学家
外科疾病,疾病
潮汛,气象灾害
潮汛,自然现象
潮汛,气象
体育场,体育场馆
轻工业,工业
轻工业,高新技术
轻工业,行业
中医学,医学
雷达,电子设备
雷达,设备
兽医院,医院
立体几何,几何
立体几何,数学
立体几何,科学
金币,人物
金币,物品
金币,黄金
审计师,财务
审计师,职员
英雄联盟,网络游戏
英雄联盟,在线游戏
英雄联盟,游戏
英雄联盟,角色扮演
英雄联盟,电子游戏
英雄联盟,网页游戏
成龙电影,电影
丰田,中型车
丰田,汽车
肉牛,利木赞牛
肉牛,夏洛莱牛
肉牛,西门塔尔牛
肛肠疾病,疾病
土地法,法律法规
土地法,法律
意大利总理,政府首脑
意大利总理,总理
伤寒论,中药
伤寒论,金匮要略
香菇,蔬菜
蕃茄,蔬菜
蕃茄,番茄
夜大学,大学
商家,公司
创作型歌手,歌手
秧歌,大秧歌
安乃近,药品
安乃近,处方药
边界,空间
佛寺,庙宇
中国文学,古典文学
中国文学,文学
现代名人,名人
文法,字词
文法,语言
文法,汉语词汇
门廊,走廊
线性,专业术语
线性,术语
辞典,书籍
构件,建筑工程
模板,模具
工艺品公司,公司
磁学,学科
超级英雄,动漫
排水沟,水沟
玛雅金字塔,金字塔
头巾,衣物
雉科,鸟纲
雉科,鸡形目
响器,乐器
木瓜,水果
相对论,物理
厨房,房间
幼儿教师,教师
幼儿教师,教育
二手车,汽车
黑芝麻,芝麻
生铁,合金
生铁,金属
布鞋,鞋子
历史片,电影
医学院,高校
医学院,教育机构
医学院,学校
医学院,大学
医学院,学院
高等院校,教育机构
高等院校,高等教育
高等院校,高校
高等院校,院校
高等院校,学校
化工企业,企业
师范大学,教育机构
师范大学,大学
师范大学,学校
师范大学,高校
陕西小吃,小吃
历代画家,画家
降水,气象
降水,天气
降水,自然现象
降水,气候
歌仔戏,戏剧
歌仔戏,戏曲
歌仔戏,中国戏剧
南少林寺,寺庙
助教,教师
荔枝,水果
著名旅游景点,景点
美容护肤,护肤
肾结石,症状
钢材,金属
山参,补益药
山参,中草药
山参,丹参
山参,药草
山参,中药
凤凰卫视,电视台
凤凰卫视,频道
凤凰卫视,电视频道
凤凰卫视,媒体
凤凰卫视,卫视
泥石流,自然灾害
泥石流,自然现象
泥石流,灾害
泥石流,洪涝灾害
泥石流,地质灾害
双翅目,节肢动物门
双翅目,昆虫纲
黑茶,茶
黑茶,茶叶
黑茶,中国茶
原料药,药品
原料药,药物
木地板,家具
木地板,地板
文学批评家,批评家
文学批评家,作家
帝陵,陵墓
药用植物,植物
药用植物,植物分类
酸枣,水果
内需,文化
片剂,药物
片剂,药品
家畜,动物
家畜,动物界
百货公司,商店
百货公司,零售商
百货公司,公司
私立学校,教育机构
私立学校,学校
女演员,明星
明代画家,画家
战争电影,电影
常绿植物,植物
包子,面食
中将,军官
中将,军队
中将,军衔
过氧化氢,化合物
过氧化氢,无机化合物
过氧化氢,化学品
过氧化氢,无机物
香樟,树木
香樟,樟树
中医师,医师
中医师,医生
显示屏,手机
显示屏,电脑
显示屏,机器
鱼虫,鱼饵
生物医学,学科
金融企业,企业
果园,北京街道
果园,上海街道
羟基,化合物
羟基,有机物
黑松,乔木
红霉素,药品
红霉素,基本药物
红霉素,抗生素
红霉素,药物
原始林,森林
鸭科,鸟纲
鸭科,雁形目
眼疾病,疾病
山鸡,野鸡
抗病毒药,药物
抗病毒药,药品
生态学,学科
生态学,交叉学科
剧情电影,电影
健康饮品,饮品
工资,机构
工资,工作
工资,薪酬
营长,军官
荨麻,中药材
荨麻,中药
荨麻,藏药
路由器,硬件
路由器,机器
路由器,电脑
生物技术,学科
生物技术,生命科学
刀削面,面食
刀削面,面条
空军,士兵
空军,军队
劳动法,法律法规
劳动法,法规
劳动法,合同法
劳动法,法律
协和,医院
桑树,桑科
冲锋枪,枪械
冲锋枪,轻兵器
神经系统,人体
灯饰,家居用品
中国节日,民俗
中国节日,习俗
中国节日,节日
橄榄球,体育
橄榄球,足球
十字花科,被子植物门
十字花科,双子叶植物纲
收益率,外汇
收益率,货币
著名运动员,运动员
税法,经济法
税法,法律术语
税法,法律
原生生物,微生物
原生生物,生物
菊科,双子叶植物纲
菊科,被子植物门
小白菜,白菜
小白菜,蔬菜
小白菜,油菜
十滴水,药物
十滴水,药品
西餐,菜肴
西餐,美食
西餐,菜谱
熟语,语言
熟语,字词
盛大游戏,单机游戏
盛大游戏,游戏
盛大游戏,网页游戏
盛大游戏,网络游戏
硝酸铵,无机物
硝酸铵,化合物
全日制,学校
全日制,教育机构
曾祖,祖宗
大百科全书,全书
大百科全书,书籍
造影,疗法
吕剧,中国戏剧
吕剧,戏剧
吕剧,中国戏曲
吕剧,戏曲
羽毛球运动员,运动员
橄榄油,食品
橄榄油,饮食
橄榄油,食物
晶体,电子
晶体,物质
晶体,物体
晶体,基本粒子
少女游戏,游戏
征服者,武器
征服者,角色
征服者,人物
口腔疾病,疾病
比亚迪,汽车
内地艺人,艺人
中华名小吃,小吃
古钱币,钱币
词话,散文
日本电视剧,电视剧
佛教徒,宗教
佛教徒,宗教人物
股指期货,期货
婚姻法,法律
婚姻法,民法
婚姻法,法规
中专,教育机构
中专,学校
中专,高校
无籽西瓜,西瓜
无籽西瓜,水果
园林苗木,苗木
清晰度,电视
校区,学校
步枪,枪械
步枪,兵器
步枪,轻兵器
步枪,枪支
耶稣,宗教人物
耶稣,基督
耶稣,圣经人物
耶稣,宗教人士
馒头,面食
油桐,树木
油桐,乔木
过客,流行
草本,植物
草本,植物界
乌干达总统,总统
美术史,历史
吗啡,药物
吗啡,药品
吗啡,镇痛药
俄罗斯电影,电影
幼儿园,教育
剂量,药物
茉莉花茶,花草茶
茉莉花茶,茶叶
茉莉花茶,中国茶
茉莉花茶,花茶
论坛,网站
论坛,工具
液化石油气,能源
液化石油气,石油气
液化石油气,燃料
越野车,汽车
越野车,车辆
越野车,机动车
越野车,轿车
网络词汇,语言
网络词汇,字词
网络词汇,词汇
清茶,茶
清茶,茶叶
着色剂,化学物品
着色剂,食品添加剂
交通事故,汽车
交通事故,事故
羊绒面料,面料
网络歌曲,音乐
网络歌曲,歌曲
职业中学,教育机构
职业中学,学校
艺术书籍,书籍
动物学家,科学家
动物学家,中国科学家
动物学家,生物学家
中医中药,医生
红柳,树木
红柳,灌木
真菌学,分子生物学
真菌学,微生物学
氯喹,药物
氯喹,抗疟药
氯喹,药品
都市小说,小说
邮局,机构
邮局,邮政局
非洲动物,动物
药性,药材
存储器,计算机技术
存储器,计算机
存储器,硬件
存储器,计算机系统
存储器,通信技术
径流,河流
径流,河川
径流,水流
稀有气体,元素
稀有气体,化学元素
稀有气体,物质
中国作家,作家
中国作家,文学家
著名书法家,书法家
乐谱,曲谱
王筝,音乐人
王筝,中国歌手
王筝,歌手
王筝,女歌手
数码宝贝,动画片
数码宝贝,声优
数码宝贝,日本动画片
数码宝贝,动漫
数码宝贝,漫画
数码宝贝,日本动画
数码宝贝,日本漫画
数码宝贝,动漫人物
数码宝贝,动画
法医学,医学
药酒,中药材
税种,消费税
税种,营业税
税种,增值税
税种,所得税
技校,教育机构
技校,学校
冷杉,乔木
冷杉,树木
日文歌曲,歌曲
黄梅戏,戏曲
黄梅戏,剧种
黄梅戏,戏剧
金属工艺,工艺
传教士,宗教人物
传教士,宗教
传教士,宗教人士
红葡萄酒,葡萄酒
副主任医师,医师
洋兰,花卉
海龙,怪物
海龙,人物
海龙,角色
侏罗纪恐龙,恐龙
航天员,宇航员
豫剧,戏曲
豫剧,戏剧
豫剧,剧种
古人类,化石
古人类,新石器时代
古人类,旧石器时代
吉剧,中国戏剧
吉剧,戏剧
吉剧,戏曲
佛堂,庙宇
嫌疑人,罪犯
金牌,体育
金牌,运动员
金牌,奖牌
公安局长,局长
公安局长,职位
桦树,树木
界河,江河
美味菜肴,菜肴
狂想曲,乐曲
镜头,数码相机
镜头,照相机
镜头,数码
镜头,相机
绿化苗木,苗木
制造业企业,企业
中国战争,军事
中国战争,战争
元器件,器件
琵琶,民族乐器
琵琶,乐器
琵琶,中国乐器
琵琶,弦乐器
苯乙烯,有机物
苯乙烯,化合物
苯乙烯,有机化合物
苯乙烯,乙烯
木星,行星
木星,天体
木星,八大行星
木星,木星卫星
木星,卫星
木星,天文
医药学,药学
外币,货币
日语教师,教师
风疹,传染病
风疹,法定传染病
风疹,病毒性疾病
计算机语言,通信技术
浪漫曲,乐曲
书法篆刻家,篆刻家
怪物猎人,游戏
怪物猎人,网络游戏
怪物猎人,电子游戏
怪物猎人,角色扮演
怪物猎人,小游戏
豆科,被子植物门
豆科,双子叶植物纲
免税店,商店
免税店,公司
华侨,侨民
安全软件,软件
安全软件,应用软件
读者,期刊
读者,刊物
读者,文学作品
读者,杂志
直升机,军用飞机
轰炸机,战斗机
体育用品,用品
善本,图书
善本,中国书籍
善本,古籍
善本,书籍
保龄球,奥运项目
保龄球,体育
简约主义,主义
衬衫,服饰
衬衫,服装
中药学,药学
表演者,影视
表演者,影视节目
大型企业,企业
马术,体育
马术,亚洲运动会
马术,奥运会项目
马术,奥运项目
马术,体育运动
酸性氧化物,氧化物
影视城,楼盘
加工企业,企业
美国博物馆,博物馆
泰安,旅游
对虾,鱼类
意大利电影,电影作品
意大利电影,电影
女孩,性别
芹菜,蔬菜
长篇小说,小说
经济政策,政策
国产动画片,动画片
小学,教育
充电器,电源
木麻黄,树木
龙爪槐,乔木
龙爪槐,树木
龙爪槐,国槐
乙肝药物,药物
网球,奥运会项目
网球,奥运项目
网球,亚运会
网球,奥运会
网球,赛事
网球,体育
网球,体育运动
海岛,岛屿
历史故事,故事
左翼作家,作家
多汗症,症状
人工湖泊,湖泊
水师,军队
水师,士兵
春笋,蔬菜
家鼠,动物界
家鼠,动物
二胡演奏家,演奏家
神经科学,分子生物学
当代画家,画家
上海话,语言
上海话,方言
产权,权利
绿党,政党
省会,城市
省会,行政区划
五子棋,游戏
五子棋,棋类
五子棋,益智游戏
五子棋,电子游戏
五子棋,棋牌游戏
五子棋,电脑游戏
师范学校,教育机构
师范学校,学校
铵盐,化合物
西区,街道
设计师,工作
童星,明星
抗酸药,药品
抗酸药,药物
百家姓,古文
百家姓,多义词
百家姓,汉字
黄热病,热病
美少女战士,动漫
美少女战士,漫画
美少女战士,动画
错觉,感觉
农机,机械
中央,空间
原子,粒子
原子,基本粒子
高中,教育机构
高中,学校
汶川大地震,地震
汶川大地震,自然灾害
汶川大地震,自然现象
葡萄糖,单糖
葡萄糖,营养物质
葡萄糖,二糖
葡萄糖,糖类
钢铁企业,企业
叔叔,长辈
叔叔,辈分
沪剧,戏剧
沪剧,中国戏剧
沪剧,花鼓戏
沪剧,戏曲
沪剧,表演艺术
中国神话,故事
聚宝盆,法宝
聚宝盆,宝物
聚宝盆,传说
重点大学,师范
重点大学,教育机构
重点大学,高校
重点大学,大学
重点大学,学校
重点大学,艺术
重点大学,高等教育
株式会社,企业
泰国华人,民族
铜钱,钱币
铜钱,古董
折子戏,戏剧
篮球场,球场
中国名人,名人
蜗牛,昆虫
铅中毒,职业病
经济期刊,期刊
恶魔,角色
恶魔,人物
绕组,电气设备
绕组,变压器
信乐团,歌手
诗经,诗歌
诗经,诗文
诗经,诗词
摄影艺术家,艺术家
赣语,语言
赣语,字词
赣语,方言
冷盘,菜肴
冷盘,菜谱
农奴制,制度
农奴制,社会
战士,人物
连衣裙,衣服
连衣裙,裙子
连衣裙,服装
连衣裙,服饰
肝脏,器官
肝脏,人体
仙侠小说,言情小说
仙侠小说,小说
红树林,岛屿
常用药,用药
纸尿裤品牌,品牌
枣子,水果
华人,民族
华人,汉族
分析,方法
喷气织机,织机
信息港,媒体
快餐,美食
快餐,食谱
快餐,菜谱
远方,时空
档案法,法规
档案法,法律
太阳镜,眼镜
美女作家,作家
网络语言,语言
网络语言,流行语
上市企业,企业
商用车,用车
商用车,汽车
二胡,民族乐器
二胡,乐器
二胡,中国乐器
二胡,弦乐器
口琴,民族乐器
口琴,西洋乐器
口琴,乐器
口琴,中国乐器
医学影像学,医学
桂皮,调味品
桂皮,香料
企业培训师,培训师
事典,书籍
事典,图书
美国总统,总统
抗真菌药物,药物
所在,空间
婴童用品,用品
特种兵,士兵
特种兵,特种部队
特种兵,军队
肋骨,骨骼
管理制度,制度
颗粒剂,制剂
颗粒剂,药品
马头琴,中国乐器
马头琴,弦乐器
马头琴,民族乐器
马头琴,乐器
交换机,电脑硬件
交换机,机器
成文法,法律
湿疹,症状
菌类,植物
曲剧,戏剧
曲剧,剧种
食糖,饮食
食糖,食品
食糖,食物
烤鱼,家常菜
烤鱼,菜肴
烤鱼,美食
烤鱼,菜谱
火柴,root
田园诗人,诗人
美容,护肤
美容,化妆品
被子植物,种子植物
被子植物,植物
被子植物,植物界
被子植物,植物分类
工程学校,学校
人参,中药材
人参,药草
人参,补益药
人参,中药
人参,中草药
仙人掌,花卉
亚洲电影,电影
航空飞行器,航空航天
草书,书体
浏览器,软件
浏览器,系统软件
自行车品牌,品牌
婴儿床,家具
大城市,城市
内科疾病,疾病
氟斑牙,症状
光谱仪,仪器
话梅,蜜饯
长臂猿,动物
长臂猿,野生动物
长臂猿,动物界
国际品牌,品牌
炮兵,军队
炮兵,士兵
词义,字词
肝胆疾病,疾病
神兵小将,动画
神兵小将,动漫
神兵小将,漫画
神兵小将,动画作品
油画,绘画
油画,美术作品
智能手机,手机
零售业,经济
零售业,行业
零售业,商业
联盟党,政党
罗布麻,中药材
罗布麻,中药
茅根,中药材
茅根,中药
茅根,药材
龙胆科,被子植物门
龙胆科,双子叶植物纲
情书,爱情
肋间神经痛,症状
肋间神经痛,炎症
保温杯,杯子
黑名单,名单
地方税务局,税务局
闪光灯,摄影器材
闪光灯,数码
闪光灯,相机
新华医院,医疗机构
新华医院,医院
陇海铁路,交通线路
陇海铁路,铁路
猎人,人物
猎人,职业
猎人,剧情
猎人,角色
断裂带,地貌学
群英会,戏曲
群英会,京剧
名家,书法
西湖十景,历史遗迹
动脉,人体
动脉,循环系统
海水鱼类,鱼类
输入法软件,软件
腕表,手表
喜剧片,电影
小号,人物
小号,角色
小号,等级
德国电影,电影
德国电影,电影作品
癌细胞,肿瘤
昆虫学,生物学
昆虫学,学科
元帅,军官
元帅,军衔
龙子,传说
美国小说家,小说家
空降兵,士兵
空降兵,军队
食用鱼,鱼类
情色电影,电影
石英岩,矿物
石英岩,变质岩
石英岩,自然地理
直通车,交通工具
韩国总理,总理
杜仲,中药材
杜仲,中药
裸子植物,植物界
裸子植物,植物
裸子植物,植物分类
果仁,干果
果仁,坚果
抗菌药,处方药
抗菌药,药品
先生,贵族
水瓶座,星座
孝文帝,北魏皇帝
蒜头,调料
蒜头,调味品
新城,社区
外国诗歌,诗歌
一致性,性质
非金属矿产,矿产
非金属矿产,燃料
特教教师,教师
火箭导弹,导弹
白糖,调味品
中国语言,汉字
中国语言,字词
中国语言,语言
童话作家,作家
玄参,药材
玄参,中药
玄参,中草药
玄参,药草
玄参,中药材
冰壶,体育
冰壶,竞赛
冰壶,体育运动
副省级城市,城市
副省级城市,行政区划
肺水肿,水肿
榕树,树木
榕树,乔木
榕树,桑科
四合院,院子
四合院,房屋
英文歌曲,歌曲
汽车城,公交站
食品科学,学科
电气工程,电子工程
连环画,书籍
上海宾馆,宾馆
上海宾馆,酒店
基底,术语
涵洞,建筑
涵洞,桥梁
涵洞,建筑物
涵洞,工程
少将,军官
少将,军衔
商标法,法律
商标法,法律术语
商标法,法规
弹弓,冷兵器
弹弓,兵器
弹弓,射击武器
弹弓,弹药
军事博物馆,博物馆
对称性,术语
主页,网站
主页,工具
海豹,动物界
海豹,动物
海豹,野生动物
美国副总统,总统
石雕,塑像
石雕,雕塑
开国中将,军事人物
岩浆岩,变质岩
岩浆岩,片麻岩
医药用品,用品
香烟品牌,品牌
口弦,中国乐器
口弦,乐器
口弦,民族乐器
三本院校,院校
加工厂,工厂
星官,天文
基地,空间
桌子,家具
相声,表演艺术
相声,中国曲艺
相声,戏剧
相声,曲艺
汇票,票据
弹词,曲艺
蕨类,植物
蕨类,蕨类植物
战神,人物
战神,职业
战神,角色
交通路线,路线
偶蹄目,脊索动物门
偶蹄目,哺乳纲
诗体,绝句
诗体,诗歌
诗体,诗文
诗体,古诗
诗体,体裁
朱顶红,花卉
冬笋,蔬菜
硫酸钾,无机物
硫酸钾,碳酸盐
硫酸钾,化合物
海棠花,花卉
农庄,乡村
秒表,钟表
秒表,仪器
服务业,行业
服务业,经济
姊妹城市,城市
高等植物,生物
保单,保险
港台歌手,歌手
纳税人,税收
空调品牌,品牌
变色龙,蜥蜴
苍蝇,昆虫
世界货币,货币
胡萝卜,蔬菜
胡萝卜,萝卜
专科医院,医院
网格,界限
网格,术语
蒙药,中药材
蒙药,藏药
烤瓷牙,金属
剑杆织机,织机
石刻,雕塑
石刻,塑像
北洋军阀,军阀
节目主持人,主持人
海王星,天体
海王星,星球
海王星,行星
蟑螂,昆虫
厦门医院,医院
将领,军官
助工,工人
材料科学,自然科学
材料科学,学科
材料科学,理论物理
柳杉,树木
饮用水,食品
饮用水,饮食
团长,军队
团长,军官
书刊,书籍
书刊,报刊
闽菜,中式菜肴
闽菜,菜系
闽菜,八大菜系
闽菜,中国菜系
气氛,环境
守望者,角色
守望者,人物
成熟男人,男人
手榴弹,弹药
律师事务所,工作
律师事务所,机构
小麦,五谷
小麦,粮食
麻醉药品,麻醉药
麻醉药品,处方药
麻醉药品,药品
眼珠,内脏
纹饰,饰物
电影院,影院
电影院,楼盘
大盘,证券
大盘,股票
键盘,硬件
键盘,笔记本电脑
键盘,电脑
键盘,机器
西洋参,高丽参
西洋参,洋参
林业,行业
林业,农业
林业,高新技术
林业,产业
魔兽,怪物
魔兽,人物
居民,民族
鼓风机,风机
脊髓疾病,疾病
法国总统,总统
法国总统,国家元首
文学书籍,书籍
芦笋,蔬菜
汉语词典,字词
汉语词典,语言
铝土矿,矿产
山东博物馆,博物馆
